,Wins
0,0.6219512195121951
1,0.4878048780487805
2,0.5
3,0.3780487804878049
4,0.573170731707317
5,0.2926829268292683
6,0.6219512195121951
7,0.3170731707317073
8,0.8170731707317073
9,0.3902439024390244
10,0.4146341463414634
11,0.7439024390243902
12,0.6707317073170732
13,0.4146341463414634
14,0.5243902439024389
15,0.5243902439024389
16,0.5
17,0.5975609756097561
18,0.4390243902439024
19,0.35365853658536583
20,0.5121951219512195
21,0.6463414634146342
22,0.451219512195122
23,0.5
24,0.5121951219512195
25,0.3414634146341464
26,0.24390243902439024
27,0.3780487804878049
28,0.6219512195121951
29,0.6463414634146342
30,0.5853658536585366
31,0.5609756097560976
32,0.5975609756097561
33,0.573170731707317
34,0.5853658536585366
35,0.25609756097560976
36,0.5121951219512195
37,0.4268292682926829
38,0.7073170731707317
39,0.32926829268292684
40,0.2926829268292683
41,0.573170731707317
42,0.7926829268292683
43,0.5853658536585366
44,0.2682926829268293
45,0.2926829268292683
46,0.5365853658536586
47,0.5243902439024389
48,0.4390243902439024
49,0.3048780487804878
50,0.5365853658536586
51,0.6707317073170732
52,0.475609756097561
53,0.32926829268292684
54,0.5853658536585366
55,0.6341463414634146
56,0.3414634146341464
57,0.35365853658536583
58,0.7195121951219512
59,0.6707317073170732
60,0.6097560975609756
61,0.6585365853658537
62,0.6463414634146342
63,0.4390243902439024
64,0.5975609756097561
65,0.23170731707317074
66,0.5853658536585366
67,0.451219512195122
68,0.6951219512195121
69,0.475609756097561
70,0.4024390243902439
71,0.5853658536585366
72,0.6463414634146342
73,0.4024390243902439
74,0.4024390243902439
75,0.35365853658536583
76,0.475609756097561
77,0.3902439024390244
78,0.475609756097561
79,0.5121951219512195
80,0.7317073170731707
81,0.5975609756097561
82,0.5
83,0.2682926829268293
84,0.5853658536585366
85,0.6219512195121951
86,0.5121951219512195
87,0.2073170731707317
88,0.7073170731707317
89,0.5975609756097561
90,0.611
91,0.63
92,0.473
93,0.297
94,0.611
95,0.466
96,0.6809999999999999
97,0.732
98,0.231
99,0.431
100,0.573
101,0.451
102,0.611
103,0.41700000000000004
104,0.466
105,0.299
106,0.603
107,0.34700000000000003
108,0.354
109,0.452
110,0.767
111,0.667
112,0.303
113,0.33799999999999997
114,0.616
115,0.589
116,0.486
117,0.318
118,0.736
119,0.667
120,0.7222222222222222
121,0.6527777777777778
122,0.5833333333333334
123,0.3194444444444444
124,0.3055555555555556
125,0.7083333333333334
126,0.6527777777777778
127,0.5833333333333334
128,0.5416666666666666
129,0.4305555555555556
130,0.5833333333333334
131,0.4583333333333333
132,0.2361111111111111
133,0.4305555555555556
134,0.5277777777777778
135,0.5694444444444444
136,0.5555555555555556
137,0.4722222222222222
138,0.4583333333333333
139,0.2916666666666667
140,0.6388888888888888
141,0.5
142,0.2777777777777778
143,0.4305555555555556
144,0.4722222222222222
145,0.6805555555555556
146,0.6666666666666666
147,0.4305555555555556
148,0.375
149,0.5
