,Wins
0,0.6219512195121951
143,0.4305555555555556
72,0.6463414634146342
116,0.486
20,0.5121951219512195
27,0.3780487804878049
127,0.5833333333333334
12,0.6707317073170732
21,0.6463414634146342
58,0.7195121951219512
130,0.5833333333333334
13,0.4146341463414634
11,0.7439024390243902
89,0.5975609756097561
149,0.5
138,0.4583333333333333
8,0.8170731707317073
84,0.5853658536585366
36,0.5121951219512195
124,0.3055555555555556
113,0.338
123,0.3194444444444444
117,0.318
91,0.63
73,0.4024390243902439
80,0.7317073170731707
43,0.5853658536585366
82,0.5
132,0.2361111111111111
136,0.5555555555555556
135,0.5694444444444444
137,0.4722222222222222
3,0.3780487804878049
106,0.603
68,0.6951219512195121
144,0.4722222222222222
52,0.4756097560975609
14,0.524390243902439
92,0.473
38,0.7073170731707317
46,0.5365853658536586
111,0.667
64,0.5975609756097561
54,0.5853658536585366
69,0.4756097560975609
87,0.2073170731707317
35,0.2560975609756097
110,0.767
108,0.354
147,0.4305555555555556
32,0.5975609756097561
77,0.3902439024390244
16,0.5
18,0.4390243902439024
142,0.2777777777777778
141,0.5
51,0.6707317073170732
81,0.5975609756097561
139,0.2916666666666667
93,0.297
2,0.5
33,0.573170731707317
94,0.611
88,0.7073170731707317
76,0.4756097560975609
29,0.6463414634146342
120,0.7222222222222222
49,0.3048780487804878
83,0.2682926829268293
45,0.2926829268292683
60,0.6097560975609756
24,0.5121951219512195
107,0.347
101,0.451
146,0.6666666666666666
42,0.7926829268292683
66,0.5853658536585366
7,0.3170731707317073
4,0.573170731707317
99,0.431
28,0.6219512195121951
131,0.4583333333333333
134,0.5277777777777778
121,0.6527777777777778
63,0.4390243902439024
22,0.4512195121951219
40,0.2926829268292683
125,0.7083333333333334
41,0.573170731707317
70,0.4024390243902439
53,0.3292682926829268
104,0.466
65,0.2317073170731707
50,0.5365853658536586
75,0.3536585365853658
34,0.5853658536585366
26,0.2439024390243902
145,0.6805555555555556
96,0.681
1,0.4878048780487805
114,0.616
56,0.3414634146341463
15,0.524390243902439
102,0.611
79,0.5121951219512195
44,0.2682926829268293
19,0.3536585365853658
37,0.4268292682926829
39,0.3292682926829268
105,0.299
10,0.4146341463414634
62,0.6463414634146342
23,0.5
17,0.5975609756097561
118,0.736
85,0.6219512195121951
128,0.5416666666666666
119,0.667
133,0.4305555555555556
140,0.6388888888888888
